Counties,Year,Median AQI,pct_under_18,pct_18_64,pct_65_plus,median_age,pct_AI/AN,pct_Asian,pct_Black,pct_Latino,pct_Multi_Race,pct_NH/PI,pct_White,COPD_Hospitalization_Rate,Poverty_AllAges_Percent_Est,Median_Household_Income_Est
Plumas,2020,56.0,19.36215235792019,52.23700120918985,28.400846432889963,45.61220274083031,1.7734784361144702,0.8162031438935914,0.5592503022974606,17.03446191051995,5.013099556630391,0.2216848045143087,74.58182184602983,10.38,13.5,58489
Plumas,2021,67.0,19.022262792230844,51.21963588417262,29.75810132359653,46.01901719154115,1.7800091282519397,0.8215426745778184,0.5679801206957756,17.074902378416756,5.086464830873776,0.2180637963385567,74.45103707084539,5.72,13.0,58154
Plumas,2022,55.0,18.674136321195142,49.82882041705572,31.49704326174914,46.64742193173566,1.805166511048864,0.8558979147214442,0.5135387488328664,16.718539267558878,5.233945430023861,0.2230521838364975,74.64985994397759,11.81,12.6,66725
Plumas,2023,50.0,18.37718838452668,48.79442289548171,32.828388719991615,47.14152426879128,1.7926407380228535,0.8491456127476674,0.503197400146766,16.605514204843274,5.2835727015410425,0.2253905021490722,74.74053884054932,10.35,12.7,64121
Riverside,2000,103.0,30.14709395586056,57.37119131201817,12.481714732121272,34.246650324129426,0.640356481541904,3.9442287944716914,6.128353600099492,37.29723605520855,1.3327089730935855,0.2292765765927436,50.42783951899204,33.53,12.5,43558
Riverside,2001,110.0,29.89799221171622,57.893971209861824,12.208036578421972,34.25677523036199,0.6145853348786038,4.327669269247898,6.123952474038763,38.48696524544095,1.418102977141659,0.238943067048044,48.7897816322041,31.82,12.7,42640
Riverside,2002,101.0,29.822755458930583,58.22449544156625,11.952749099503164,34.2284635918681,0.5974774620884697,4.513632082376567,6.107002971217224,39.31149926158602,1.486862792668955,0.2426035943145611,47.7409218357482,30.02,12.9,42929
Riverside,2003,97.0,29.77990691529969,58.50788079663504,11.71221228806529,34.18569059294525,0.5789200107312178,4.762549814423946,6.09106624070786,40.24293971612728,1.5595717195002547,0.2480476188348922,46.51690487967457,27.49,12.2,44598
Riverside,2004,99.0,29.787743225692743,58.69140035790754,11.520856416399706,34.15187512280287,0.5655225385850133,4.932415902640935,6.071530433301203,41.01472948618702,1.6267037680320868,0.2512855141714555,45.537812357082274,23.77,11.9,46885
Riverside,2005,91.0,29.84981023187944,58.75886948173071,11.391320286389838,34.13836479198593,0.5549749147086122,5.076432629088438,6.050505882353109,41.72530548572635,1.6951433825053468,0.2540591139230673,44.64357859169509,24.66,11.5,52029
Riverside,2006,84.0,29.9062319678092,58.81324041159368,11.28052762059712,34.135773023369694,0.543472190876187,5.259921122791504,6.032639112406411,42.484358315322666,1.7680333012656817,0.2580653620866377,43.65351059525089,19.56,12.2,53269
Riverside,2007,101.0,29.89155238105021,58.82907040979504,11.27937720915478,34.20443248873411,0.537091104141334,5.364791753906615,6.019062446121151,43.09978023268808,1.838639750528018,0.2607850922812896,42.87984962033353,20.61,11.7,57736
Riverside,2008,92.0,29.749261473173384,58.85158697389704,11.399151552929576,34.35268460477392,0.5326427158522584,5.456829703635162,6.011465093499543,43.65437544777088,1.910772389574478,0.2631833493663379,42.17073130030133,20.94,12.6,57590
Riverside,2009,87.0,29.015986802662752,59.21840540294024,11.765607794397036,34.75805642262177,0.5261538096796564,5.625432044759174,6.0048542070723325,44.6616639594134,2.0180673537433,0.2677190186106385,40.89610960672152,20.49,13.9,55151
Riverside,2010,87.0,28.193648397357585,59.943699242756175,11.862652359886232,35.04175556080313,0.50572403165109,5.824357471134146,6.030742015224956,45.56016159509409,2.102155799401139,0.2746334012636958,39.70222568623088,19.13,16.4,53981
Riverside,2011,93.0,27.81495324418402,60.04922420710789,12.13582254870809,35.265853803027774,0.5052572243076388,5.948149424730227,6.046166992494296,46.07880361121134,2.2545386980897346,0.2770881242561167,38.88999592491064,19.27,16.9,52491
Riverside,2012,94.0,27.46798441289382,60.12550599187746,12.406509595228728,35.481508650488266,0.5046914699939314,6.073769781198108,6.059543101282847,46.58388517290973,2.405642656921391,0.2783983425917899,38.0940694751022,18.33,17.8,52416
Riverside,2013,88.0,27.167753647786373,60.126117436282215,12.706128915931409,35.69390423574368,0.5053426216803137,6.231060121797139,6.076984185063936,47.12343091622942,2.592090680411681,0.27910007309239,37.19199140172512,18.31,17.4,53909
Riverside,2014,93.0,26.88274988130813,60.09888953277292,13.018360585918954,35.91310096489513,0.5049641131622308,6.396444829223336,6.096966026195995,47.657493646493705,2.7824517552433883,0.2811950177339626,36.28048461194739,15.74,17.1,56877
Riverside,2015,88.0,26.594635395186327,60.09345648942875,13.311908115384917,36.13318522438117,0.5066225365970909,6.545023651607626,6.108478351278467,48.15767334929417,2.9460106987750967,0.2823840267132176,35.45380738573433,15.85,16.2,57895
Riverside,2016,83.0,26.2997615603042,60.110202429911816,13.590036009783985,36.35465273957543,0.5069089334892701,6.671092673219552,6.115203931388914,48.61834163352152,3.0799530136056923,0.2846389910073927,34.72386082376765,16.23,15.3,59951
