County,1/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024,1/1/2025
San Luis Obispo     ,"245,696","249,687","252,604","254,583","257,045","259,213","260,873","262,982","265,505","267,537","269,333"," 	270,396 "," 	272,951 "," 	275,482 "," 	278,272 "," 	279,620 "," 	281,046 "," 	282,284 "," 	282,754 "," 	282,935 "," 	282,484 "," 	279,100 "," 	280,111 "," 	280,206 "," 	279,568 "," 	279,337 "
San Mateo           ,"705,052","707,965","706,213","704,014","702,254","700,350","699,347","701,838","707,820","713,818","718,614"," 	726,265 "," 	735,915 "," 	745,842 "," 	751,906 "," 	758,673 "," 	763,530 "," 	765,207 "," 	766,114 "," 	765,726 "," 	765,009 "," 	757,341 "," 	744,660 "," 	749,670 "," 	747,777 "," 	748,337 "
Santa Barbara       ,"397,877","401,667","404,794","407,828","410,357","411,440","412,271","414,750","418,309","421,197","423,740"," 	424,822 "," 	427,960 "," 	432,485 "," 	437,066 "," 	440,902 "," 	444,102 "," 	445,716 "," 	447,377 "," 	447,907 "," 	448,408 "," 	441,980 "," 	442,182 "," 	443,463 "," 	444,518 "," 	447,132 "
Santa Clara         ,"1,676,920","1,690,366","1,693,230","1,693,752","1,695,602","1,698,234","1,706,676","1,725,066","1,747,912","1,767,204","1,781,427"," 	1,805,407 "," 	1,833,344 "," 	1,861,489 "," 	1,883,691 "," 	1,907,380 "," 	1,923,243 "," 	1,930,897 "," 	1,936,569 "," 	1,936,821 "," 	1,936,352 "," 	1,913,594 "," 	1,894,827 "," 	1,915,165 "," 	1,921,406 "," 	1,922,259 "
Santa Cruz          ,"254,815","256,031","255,890","255,368","254,986","254,783","255,107","256,543","258,737","260,892","262,552"," 	265,364 "," 	267,492 "," 	269,714 "," 	271,559 "," 	274,207 "," 	275,625 "," 	275,410 "," 	274,274 "," 	272,618 "," 	271,259 "," 	266,168 "," 	264,581 "," 	264,250 "," 	263,454 "," 	263,710 "
Shasta              ,"162,889","165,590","168,304","170,782","172,729","173,862","174,747","175,546","176,240","176,756","177,248"," 	178,218 "," 	178,865 "," 	180,106 "," 	180,826 "," 	181,253 "," 	180,374 "," 	180,810 "," 	181,792 "," 	181,573 "," 	181,926 "," 	181,768 "," 	180,547 "," 	179,587 "," 	180,599 "," 	180,201 "
Sierra              ,"3,553","3,603","3,576","3,555","3,506","3,449","3,427","3,384","3,314","3,264","3,247"," 	3,244 "," 	3,239 "," 	3,225 "," 	3,218 "," 	3,214 "," 	3,222 "," 	3,236 "," 	3,243 "," 	3,241 "," 	3,235 "," 	3,225 "," 	3,212 "," 	3,193 "," 	3,177 "," 	3,170 "
Siskiyou            ,"44,281","44,331","44,331","44,491","44,691","44,865","44,918","44,877","44,952","44,996","44,962"," 	44,937 "," 	44,778 "," 	44,726 "," 	44,674 "," 	44,550 "," 	44,497 "," 	44,377 "," 	44,315 "," 	44,273 "," 	44,111 "," 	43,912 "," 	43,621 "," 	43,527 "," 	43,430 "," 	43,311 "
Solano              ,"392,833","399,476","404,895","407,882","410,164","410,985","410,964","411,998","412,908","412,832","413,268"," 	414,084 "," 	418,963 "," 	423,373 "," 	428,671 "," 	433,545 "," 	438,420 "," 	444,713 "," 	447,744 "," 	450,545 "," 	452,957 "," 	450,518 "," 	447,671 "," 	447,411 "," 	449,966 "," 	449,839 "
Sonoma              ,"456,899","462,958","465,726","467,139","469,103","469,734","469,751","471,479","474,819","478,622","482,961"," 	485,975 "," 	488,601 "," 	492,751 "," 	496,615 "," 	499,963 "," 	501,553 "," 	502,454 "," 	499,410 "," 	494,708 "," 	490,008 "," 	485,182 "," 	481,223 "," 	480,343 "," 	482,050 "," 	482,848 "
Stanislaus          ,"444,967","456,423","468,340","478,283","486,639","494,144","500,780","505,959","509,389","511,226","514,003"," 	517,840 "," 	521,723 "," 	525,173 "," 	528,123 "," 	532,534 "," 	537,785 "," 	545,273 "," 	548,363 "," 	550,947 "," 	552,488 "," 	551,722 "," 	549,272 "," 	548,423 "," 	553,614 "," 	555,765 "
Sutter              ,"78,631","79,722","81,086","83,018","85,097","87,097","89,364","91,563","92,983","93,918","94,765"," 	94,535 "," 	94,718 "," 	94,496 "," 	95,103 "," 	95,421 "," 	96,065 "," 	97,649 "," 	99,498 "," 	101,531 "," 	100,058 "," 	99,144 "," 	99,435 "," 	98,704 "," 	99,431 "," 	100,257 "
Tehama              ,"55,875","56,149","56,873","57,847","58,953","59,976","61,000","61,777","62,365","62,921","63,418"," 	63,337 "," 	63,202 "," 	63,257 "," 	63,067 "," 	63,405 "," 	64,017 "," 	64,304 "," 	64,789 "," 	65,030 "," 	65,674 "," 	65,492 "," 	65,289 "," 	64,732 "," 	64,867 "," 	64,827 "
Trinity             ,"13,031","12,961","13,061","13,273","13,453","13,654","13,806","13,806","13,759","13,750","13,811"," 	13,945 "," 	14,193 "," 	14,442 "," 	14,692 "," 	14,906 "," 	15,136 "," 	15,381 "," 	15,642 "," 	15,898 "," 	16,070 "," 	16,050 "," 	15,967 "," 	15,940 "," 	15,905 "," 	15,884 "
Tulare              ,"366,766","371,479","377,666","385,769","395,127","404,148","412,239","419,842","427,531","434,933","441,245"," 	445,415 "," 	449,884 "," 	453,530 "," 	455,774 "," 	458,186 "," 	461,170 "," 	463,514 "," 	466,766 "," 	469,228 "," 	472,371 "," 	474,381 "," 	475,419 "," 	476,566 "," 	483,683 "," 	487,209 "
Tuolumne            ,"54,374","54,957","55,619","56,177","56,407","56,411","56,506","56,347","56,098","55,661","55,291"," 	55,306 "," 	55,100 "," 	55,109 "," 	55,315 "," 	54,956 "," 	55,303 "," 	55,133 "," 	55,213 "," 	55,074 "," 	55,529 "," 	54,810 "," 	54,484 "," 	54,610 "," 	54,376 "," 	54,357 "
Ventura             ,"749,740","762,944","774,438","784,632","792,213","795,962","799,049","803,572","808,970","815,284","822,108"," 	830,196 "," 	835,510 "," 	841,501 "," 	846,456 "," 	849,950 "," 	851,155 "," 	850,424 "," 	850,604 "," 	847,064 "," 	844,339 "," 	840,730 "," 	832,883 "," 	829,275 "," 	828,183 "," 	829,005 "
Yolo                ,"167,551","172,450","177,180","180,798","184,015","186,530","189,078","192,826","196,219","198,642","200,484"," 	202,769 "," 	204,087 "," 	206,386 "," 	206,708 "," 	208,343 "," 	211,938 "," 	214,387 "," 	215,708 "," 	215,874 "," 	216,306 "," 	215,702 "," 	219,340 "," 	221,467 "," 	224,088 "," 	225,433 "
Yuba                ,"60,220","60,879","62,080","63,349","64,604","66,478","68,464","69,719","70,820","71,609","72,083"," 	72,841 "," 	73,501 "," 	74,114 "," 	74,755 "," 	75,374 "," 	76,245 "," 	77,751 "," 	78,751 "," 	79,619 "," 	81,178 "," 	81,973 "," 	82,281 "," 	83,080 "," 	84,667 "," 	85,023 "
